sender_id,session_idx,marker,event_idx,num_preceding_user_turns
default,0,marker_diet_provided,24,4
default,0,marker_diet_provided,25,4
default,0,marker_diet_provided,26,4
default,0,marker_diet_provided,27,4
default,0,marker_diet_provided,28,4
default,0,marker_diet_provided,29,4
default,0,marker_diet_provided,30,4
default,0,marker_diet_provided,31,4
default,0,marker_diet_provided,32,5
default,0,marker_diet_provided,33,5
default,0,marker_diet_provided,34,5
default,0,marker_diet_provided,35,5
default,0,marker_diet_provided,36,5
default,0,marker_diet_provided,37,5
default,0,marker_diet_provided,38,5
default,0,marker_diet_provided,39,5
default,0,marker_diet_provided,40,6
default,0,marker_diet_provided,41,6
default,0,marker_diet_provided,42,6
default,0,marker_diet_provided,43,6
default,0,marker_diet_provided,44,6
default,0,marker_diet_provided,45,6
default,0,marker_diet_provided,46,6
default,0,marker_diet_provided,47,6
default,0,marker_diet_provided,48,7
default,0,marker_diet_provided,49,7
default,0,marker_diet_provided,50,7
default,0,marker_diet_provided,51,7
default,0,marker_diet_provided,52,7
default,0,marker_diet_provided,53,7
default,0,marker_diet_provided,54,7
default,0,marker_diet_provided,55,7
default,0,marker_diet_provided,56,7
default,0,marker_diet_provided,57,7
default,0,marker_diet_provided,58,7
default,0,marker_diet_provided,59,7
default,0,marker_diet_provided,60,7
default,0,marker_diet_provided,61,7
default,0,marker_diet_provided,62,8
default,0,marker_diet_provided,63,8
default,0,marker_diet_provided,64,8
default,0,marker_diet_provided,65,8
default,0,marker_diet_provided,66,8
default,0,marker_diet_provided,67,8
default,0,marker_diet_provided,68,8
default,0,marker_diet_provided,69,8
default,0,marker_diet_provided,70,9
default,0,marker_diet_provided,71,9
default,0,marker_diet_provided,72,9
default,0,marker_diet_provided,73,9
default,0,marker_diet_provided,74,9
default,0,marker_diet_provided,75,9
default,0,marker_diet_provided,76,9
default,0,marker_diet_provided,77,9
default,0,marker_diet_provided,78,10
default,0,marker_diet_provided,79,10
default,0,marker_diet_provided,80,10
default,0,marker_diet_provided,81,10
default,0,marker_diet_provided,82,10
default,0,marker_diet_provided,83,10
default,0,marker_diet_provided,84,10
default,0,marker_diet_provided,85,10
default,0,marker_diet_provided,86,10
default,0,marker_diet_provided,87,11
default,0,marker_diet_provided,88,11
default,0,marker_diet_provided,89,11
default,0,marker_diet_provided,90,11
default,0,marker_diet_provided,91,11
default,0,marker_diet_provided,92,11
default,0,marker_diet_provided,93,11
default,0,marker_diet_provided,94,11
default,0,marker_diet_provided,95,11
default,0,marker_diet_provided,96,12
default,0,marker_diet_provided,97,12
default,0,marker_diet_provided,98,12
default,0,marker_diet_provided,99,12
default,0,marker_diet_provided,100,12
default,0,marker_diet_provided,101,12
default,0,marker_diet_provided,102,12
default,0,marker_diet_provided,103,12
default,0,marker_diet_provided,104,12
default,0,marker_diet_provided,105,12
default,0,marker_diet_provided,106,12
default,0,marker_diet_provided,107,12
default,0,marker_diet_provided,108,12
default,0,marker_goal_provided,16,3
default,0,marker_goal_provided,17,3
default,0,marker_goal_provided,18,3
default,0,marker_goal_provided,19,3
default,0,marker_goal_provided,20,3
default,0,marker_goal_provided,21,3
default,0,marker_goal_provided,22,3
